language,pretrain,decay-eng,decay-all,decay-mid,ext
kmy,0,0,68865,0,0
knc,0,0,3644559,0,0
kne,0,0,314178,0,0
knf,0,0,558558,0,0
kng,0,0,6712665,0,0
knj,0,0,1324491,0,0
knk,0,0,697482,0,0
kno,0,0,16746,0,0
knv,0,0,1401375,0,0
knx,0,0,5994,0,0
kny,0,0,118125,0,0
kog,0,0,112407,0,0
koi,0,0,2377080,0,0
koo,0,0,731877,0,0
kor,28395431813,1454597336,1500484360,1517810269,11062835877
kos,0,0,4498362,0,0
kpe,0,0,580638,0,0
kpf,0,0,444018,0,0
kpg,0,0,1727844,0,0
kpj,0,0,25041,0,0
kpq,0,0,6597,0,0
kpr,0,0,982584,0,0
kpv,0,0,22291383,0,0
kpw,0,0,809103,0,0
kpx,0,0,357729,0,0
kpz,0,0,566751,0,0
kqc,0,0,188019,0,0
kqe,0,0,146346,0,0
kqf,0,0,94455,0,0
kql,0,0,3777,0,0
kqn,0,0,555843,0,0
kqo,0,0,21993,0,0
kqp,0,0,955143,0,0
kqs,0,0,6975,0,0
kqw,0,0,549837,0,0
kqy,0,0,5397,0,0
krc,0,0,10112019,0,0
kri,0,0,183879,0,0
krj,0,0,2369244,0,0
krl,0,0,5431272,0,0
kru,0,0,29838,0,0
krx,0,0,14892,0,0
ksb,0,0,2874,0,0
ksc,0,0,65616,0,0
ksd,0,0,1530534,0,0
ksf,0,0,1851,0,0
ksh,0,0,11119650,0,0
ksj,0,0,11010,0,0
ksp,0,0,66273,0,0
ksr,0,0,681048,0,0
kss,0,0,304047,0,0
ksw,0,0,1789911,0,0
ktb,0,0,1902,0,0
ktj,0,0,92634,0,0
ktm,0,0,18066,0,0
kto,0,0,881763,0,0
ktu,0,0,81729,0,0
ktz,0,0,7920,0,0
kua,0,0,4685709,0,0
kub,0,0,166230,0,0
kud,0,0,550221,0,0
kue,0,0,467493,0,0
kuj,0,0,3126,0,0
kum,0,0,8044857,0,0
kup,0,0,892398,0,0
kus,0,0,508503,0,0
kvg,0,0,65604,0,0
kvj,0,0,14403,0,0
kvn,0,0,288564,0,0
kwd,0,0,567060,0,0
kwf,0,0,340116,0,0
kwi,0,0,751548,0,0
kwj,0,0,683610,0,0
kwn,0,0,1487763,0,0
kwy,0,0,1112748,0,0
kxc,0,0,426438,0,0
kxm,0,0,96867,0,0
kxw,0,0,92124,0,0
kyc,0,0,805284,0,0
kyf,0,0,383325,0,0
kyg,0,0,196875,0,0
kyq,0,0,1200771,0,0
kyu,0,0,66564,0,0
kyz,0,0,731106,0,0
kze,0,0,569049,0,0
kzf,0,0,16434,0,0
kzj,0,0,312483,0,0
kzn,0,0,4671,0,0
lac,0,0,813423,0,0
lad,0,0,12545916,0,0
lai,0,0,30330,0,0
laj,0,0,131190,0,0
lam,0,0,557076,0,0
lao,0,296186538,261403821,296186538,723385023
lap,0,0,19008,0,0
lat,0,468720697,390460120,468720697,1419518667
law,0,0,97347,0,0
lbb,0,0,438492,0,0
lbe,0,0,5472309,0,0
lbj,0,0,181746,0,0
lbk,0,0,110967,0,0
lcm,0,0,336132,0,0
lcp,0,0,195990,0,0
ldi,0,0,56784,0,0
ldn,0,0,2052,0,0
lea,0,0,969,0,0
led,0,0,7647,0,0
lee,0,0,968667,0,0
lef,0,0,677406,0,0
leh,0,0,64965,0,0
lem,0,0,16620,0,0
leu,0,0,642525,0,0
lew,0,0,110481,0,0
lex,0,0,1047672,0,0
lez,0,0,11286891,0,0
lfn,0,0,6724623,0,0
lgg,0,0,1101135,0,0
lgl,0,0,36879,0,0
lgm,0,0,3243,0,0
lhi,0,0,13215,0,0
lhu,0,0,1205658,0,0
lia,0,0,667242,0,0
lid,0,0,1222503,0,0
lif,0,0,279003,0,0
lij,0,0,79032060,0,0
lim,0,0,46149315,0,0
lin,0,0,28720263,0,0
lip,0,0,53595,0,0
lis,0,0,5139,0,0
lit,8762417832,863893366,886817865,892609329,4796088487
liv,0,0,189744,0,0
ljp,0,0,901413,0,0
lki,0,0,1809147,0,0
llb,0,0,70662,0,0
lld,0,0,2458638,0,0
llg,0,0,442245,0,0
lln,0,0,187221,0,0
lmk,0,0,392754,0,0
lmo,0,0,42700572,0,0
lmp,0,0,470454,0,0
lnd,0,0,34158,0,0
lob,0,0,6885,0,0
loe,0,0,8262,0,0
log,0,0,7473,0,0
lol,0,0,1932,0,0
lom,0,0,8703,0,0
loq,0,0,146157,0,0
loz,0,0,6327126,0,0
lrc,0,0,1357965,0,0
lsi,0,0,245586,0,0
lsm,0,0,529911,0,0
ltg,0,0,15427317,0,0
ltz,0,295076552,257876589,295076552,704734059
lua,0,0,1356225,0,0
lub,0,0,2648391,0,0
luc,0,0,272019,0,0
lud,0,0,168537,0,0
lue,0,0,445269,0,0
lug,0,0,29537619,0,0
lun,0,0,23919,0,0
luo,0,0,3449544,0,0
lus,0,0,133350561,0,0
lvs,6150049033,750460634,754931679,771803222,3725594886
lwg,0,0,145182,0,0
lwo,0,0,74517,0,0
lww,0,0,423129,0,0
lzh,0,0,8930037,0,0
maa,0,0,1477308,0,0
mad,0,0,1817163,0,0
maf,0,0,8319,0,0
mag,0,0,1244286,0,0
mah,0,0,2943300,0,0
mai,0,0,40849095,0,0
maj,0,0,104454,0,0
mak,0,0,817203,0,0
mal,2027825033,472613860,556466473,501476133,1679894961
mam,0,0,4883958,0,0
maq,0,0,1153452,0,0
mar,2575163657,504165763,546037222,517904401,2017478929
mas,0,0,340938,0,0
mau,0,0,430986,0,0
mav,0,0,337413,0,0
maw,0,0,35667,0,0
max,0,0,2244,0,0
maz,0,0,546123,0,0
mbb,0,0,1489950,0,0
mbc,0,0,240939,0,0
mbd,0,0,37047,0,0
mbf,0,0,9085152,0,0
mbh,0,0,387183,0,0
mbi,0,0,485709,0,0
mbj,0,0,211803,0,0
mbl,0,0,529728,0,0
mbs,0,0,318903,0,0
mbt,0,0,1932981,0,0
mca,0,0,307272,0,0
mcb,0,0,69804,0,0
mcd,0,0,343089,0,0
mcf,0,0,104148,0,0
mck,0,0,113136,0,0
mcn,0,0,20577,0,0
mco,0,0,641067,0,0
mcp,0,0,186627,0,0
mcq,0,0,688278,0,0
mcu,0,0,913245,0,0
mda,0,0,16536,0,0
mdf,0,0,6954972,0,0
mdy,0,0,894798,0,0
med,0,0,1851687,0,0
mee,0,0,524715,0,0
mej,0,0,461802,0,0
mek,0,0,530325,0,0
men,0,0,724185,0,0
meq,0,0,791874,0,0
mer,0,0,598563,0,0
met,0,0,13137,0,0
meu,0,0,2222346,0,0
mev,0,0,10599,0,0
mfe,0,0,48946563,0,0
mfg,0,0,6270,0,0
mfh,0,0,46071,0,0
mfi,0,0,858819,0,0
mfk,0,0,6732,0,0
mfq,0,0,1267578,0,0
mfy,0,0,70929,0,0
mfz,0,0,576777,0,0
mgc,0,0,7311,0,0
mgh,0,0,184113,0,0
mgm,0,0,29259,0,0
mgo,0,0,9660,0,0
mgr,0,0,800832,0,0
mhi,0,0,53334,0,0
mhl,0,0,750102,0,0
mhr,0,0,44666781,0,0
mhw,0,0,74904,0,0
mhx,0,0,1100022,0,0
mhy,0,0,37497,0,0
mib,0,0,146064,0,0
mic,0,0,312942,0,0
mie,0,0,311655,0,0
mif,0,0,1112787,0,0
mig,0,0,86322,0,0
mih,0,0,204576,0,0
mil,0,0,590766,0,0
mim,0,0,82749,0,0
min,0,0,2506083,0,0
mio,0,0,236961,0,0
mip,0,0,20508,0,0
miq,0,0,1021662,0,0
mir,0,0,113082,0,0
mit,0,0,144900,0,0
miy,0,0,170610,0,0
miz,0,0,152376,0,0
mjc,0,0,148689,0,0
mjw,0,0,1331613,0,0
mkd,2577181825,519906111,537607058,544137089,2004119608
mkl,0,0,29103,0,0
mkn,0,0,695187,0,0
mks,0,0,158379,0,0
mkz,0,0,414,0,0
mlh,0,0,102081,0,0
mlp,0,0,959160,0,0
mlt,0,300784641,283527490,300784641,866892765
mlu,0,0,60966,0,0
mmn,0,0,607827,0,0
mmo,0,0,644229,0,0
mmx,0,0,682200,0,0
mna,0,0,213435,0,0
mnb,0,0,27333,0,0
mnf,0,0,1065,0,0
mni,0,0,7653516,0,0
mnk,0,0,592968,0,0
mns,0,0,30180,0,0
mnw,0,0,2780916,0,0
mnx,0,0,2211,0,0
mny,0,0,10710,0,0
moa,0,0,43605,0,0
moc,0,0,14835,0,0
mog,0,0,22968,0,0
moh,0,0,264192,0,0
mop,0,0,1160280,0,0
mor,0,0,8001,0,0
mos,0,0,5474049,0,0
mox,0,0,619722,0,0
mpg,0,0,15669,0,0
mph,0,0,36411,0,0
mpm,0,0,391872,0,0
